name,url
VentureBeat,https://venturebeat.com/feed/
MIT Technology Review,https://www.technologyreview.com/feed/
Construction Dive,https://www.constructiondive.com/feeds/all/
ACHR News,https://www.achrnews.com/feed
TechCrunch,http://feeds.feedburner.com/TechCrunch/
The Verge,https://www.theverge.com/rss/index.xml
Wired,https://www.wired.com/feed/rss
Ars Technica,http://feeds.arstechnica.com/arstechnica/index
Hacker News,https://news.ycombinator.com/rss
Google AI Blog,https://ai.googleblog.com/feeds/posts/default?alt=rss
IEEE Spectrum,https://spectrum.ieee.org/rss/feed
Reuters Technology,https://www.reuters.com/technology/rss
NYT Technology,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml
Nature News,https://www.nature.com/nature.rss
STAT News,https://www.statnews.com/feed/
Utility Dive,https://www.utilitydive.com/feeds/
ENR,https://www.enr.com/rss/
Manufacturing.net,https://www.manufacturing.net/rss
Data.gov,https://www.data.gov/rss
CNBC Tech,https://www.cnbc.com/id/19854910/device/rss/rss.html
