topic,repo_url
tensorflow,https://github.com/tensorflow/tensorflow
pytorch,https://github.com/pytorch/pytorch
huggingface/transformers,https://github.com/huggingface/transformers
langchain,https://github.com/langchain-ai/langchain
apache/airflow,https://github.com/apache/airflow
dbt,https://github.com/dbt-labs/dbt
prefect,https://github.com/PrefectHQ/prefect
scrapy,https://github.com/scrapy/scrapy
playwright,https://github.com/microsoft/playwright
OpenStudio,https://github.com/NREL/OpenStudio
IfcOpenShell,https://github.com/IfcOpenShell/IfcOpenShell
openmrs,https://github.com/openmrs/openmrs-core
pandas,https://github.com/pandas-dev/pandas
apache/arrow,https://github.com/apache/arrow
prometheus,https://github.com/prometheus/prometheus
grafana,https://github.com/grafana/grafana
